kepid,prob_confirmed,label
12256520,0.96795416,CANDIDATE
8216763,0.96793824,CANDIDATE
11076400,0.96792954,CANDIDATE
11288492,0.9679128,CANDIDATE
10319385,0.9678946,CANDIDATE
12154526,0.96788967,CANDIDATE
9514372,0.9678852,CANDIDATE
9100484,0.9678746,CANDIDATE
7663405,0.9678559,CANDIDATE
11030475,0.96784824,CANDIDATE
10917043,0.9678419,CANDIDATE
12208631,0.96782607,CANDIDATE
11602794,0.96781296,CANDIDATE
7747091,0.9678078,CANDIDATE
8007174,0.967794,CANDIDATE
12105051,0.9677939,CANDIDATE
11026304,0.9677609,CANDIDATE
8869680,0.9677472,CANDIDATE
5184911,0.9677468,CANDIDATE
8554498,0.9677266,CANDIDATE
9203154,0.9677221,CANDIDATE
5897826,0.9677151,CANDIDATE
10272442,0.96771216,CANDIDATE
11026304,0.967709,CANDIDATE
5376836,0.967709,CANDIDATE
6867588,0.96770746,CANDIDATE
11853130,0.96770054,CANDIDATE
9100484,0.96767825,CANDIDATE
12004971,0.9676654,CANDIDATE
8546542,0.96763736,CANDIDATE
7661065,0.96763355,CANDIDATE
7106173,0.9676229,CANDIDATE
6307083,0.96760744,CANDIDATE
10717241,0.96760565,CANDIDATE
6436029,0.967604,CANDIDATE
9993683,0.9675771,CANDIDATE
9935642,0.96757007,CANDIDATE
5080636,0.96754485,CANDIDATE
12256520,0.96751773,CANDIDATE
9580992,0.96750915,CANDIDATE
9828127,0.9674884,CANDIDATE
12300524,0.9674858,CANDIDATE
10656508,0.96747756,CANDIDATE
8007174,0.9674664,CANDIDATE
11026304,0.9674606,CANDIDATE
8869680,0.9674549,CANDIDATE
9509343,0.96740055,CANDIDATE
11072016,0.9673977,CANDIDATE
5080636,0.967394,CANDIDATE
9993683,0.9673903,CANDIDATE
11072016,0.9673806,CANDIDATE
7094944,0.96736133,CANDIDATE
10140122,0.9673524,CANDIDATE
8007174,0.9673519,CANDIDATE
9575728,0.9673479,CANDIDATE
6436029,0.9673371,CANDIDATE
10285631,0.9673313,CANDIDATE
9872283,0.9673195,CANDIDATE
12256520,0.9673167,CANDIDATE
8546542,0.9673163,CANDIDATE
9828127,0.96731424,CANDIDATE
9993683,0.9672993,CANDIDATE
5184911,0.967262,CANDIDATE
9815053,0.96723735,CANDIDATE
9509343,0.9672349,CANDIDATE
8639908,0.96721774,CANDIDATE
11030475,0.9672065,CANDIDATE
12349560,0.9671939,CANDIDATE
11019739,0.96718985,CANDIDATE
8261920,0.9671825,CANDIDATE
10656508,0.9671795,CANDIDATE
9993683,0.9671714,CANDIDATE
11520114,0.96717125,CANDIDATE
8313667,0.96716815,CANDIDATE
7663405,0.9671678,CANDIDATE
12105051,0.96716624,CANDIDATE
3937814,0.96712595,CANDIDATE
9815053,0.9671164,CANDIDATE
7499398,0.9671116,CANDIDATE
7730747,0.9671066,CANDIDATE
11026304,0.96709853,CANDIDATE
7730747,0.9670848,CANDIDATE
11705004,0.96708107,CANDIDATE
7094944,0.9670603,CANDIDATE
9993683,0.9670476,CANDIDATE
12105051,0.9670429,CANDIDATE
10264293,0.9670116,CANDIDATE
11076400,0.9670055,CANDIDATE
6307083,0.9669971,CANDIDATE
11019739,0.9669968,CANDIDATE
10717241,0.96698517,CANDIDATE
7730747,0.96698004,CANDIDATE
