kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K03763.01",3114667,,"FALSE POSITIVE","FALSE POSITIVE",0.888584158,43.7,412710,132.100098
"K03764.01",3344427,,"FALSE POSITIVE","FALSE POSITIVE",1.303570451,235.58,332340,146.145985
"K03765.01",12109845,,"FALSE POSITIVE","FALSE POSITIVE",0.865959015,144.5,291274,132.053694
"K03767.01",8323764,,"FALSE POSITIVE","FALSE POSITIVE",6.714247798,14.78,32213,134.31703
"K03768.01",5360082,,"FALSE POSITIVE","FALSE POSITIVE",11.35501209,8,19675,133.20478
"K03862.01",3644601,,"FALSE POSITIVE","FALSE POSITIVE",359.00688,28.57,2015.8,295.8649
"K03862.02",3644601,,"FALSE POSITIVE","FALSE POSITIVE",119.686505,23,842.7,176.0608
"K03863.01",8459354,,"FALSE POSITIVE","FALSE POSITIVE",53.556625,26.31,3963,184.4892
"K03865.01",5535890,,"FALSE POSITIVE","FALSE POSITIVE",3.255189932,1.39,119.2,134.6015
"K03956.02",5471059,,"FALSE POSITIVE","FALSE POSITIVE",12.4249559,0.88,110.4,141.5823
"K03957.01",7458309,,"FALSE POSITIVE","FALSE POSITIVE",0.660629055,17.38,231.6,131.86099
"K00378.01",2449074,,"FALSE POSITIVE","FALSE POSITIVE",4.94402197,32.92,363.3,173.75192
"K03958.01",7777372,,"FALSE POSITIVE","FALSE POSITIVE",0.885123683,1.14,113.3,131.88646
"K03959.01",9282769,,"FALSE POSITIVE","FALSE POSITIVE",1.332567005,27.36,401.3,132.0492
"K03960.01",7777416,,"FALSE POSITIVE","FALSE POSITIVE",2.54557259,1.97,529,132.69874
"K03961.01",7597005,,"FALSE POSITIVE","FALSE POSITIVE",0.704541784,1.72,275.2,132.18236
"K04052.01",9091755,,"FALSE POSITIVE","FALSE POSITIVE",1.106529843,1.91,319.5,132.30528
"K04055.01",3228825,,"FALSE POSITIVE","FALSE POSITIVE",0.73095491,0.88,29.6,132.2174
"K02644.01",9993529,,"FALSE POSITIVE","FALSE POSITIVE",0.790539912,1.24,277.3,131.87702
"K02645.01",11303815,,"FALSE POSITIVE","FALSE POSITIVE",1.705782214,1.82,278,133.15607
"K02646.01",6044553,,"FALSE POSITIVE","FALSE POSITIVE",0.532086296,16.99,495.8,131.9134
"K02648.01",2573056,,"FALSE POSITIVE","FALSE POSITIVE",0.631795416,1.88,145.2,132.53963
"K02724.01",5308387,,"FALSE POSITIVE","FALSE POSITIVE",0.620739667,29.28,108.2,132.10051
"K00290.01",10488450,,"FALSE POSITIVE","FALSE POSITIVE",2.683395376,2.55,234.7,171.42605
"K02814.01",4479633,,"FALSE POSITIVE","FALSE POSITIVE",0.475068516,1.03,110.1,131.8191
"K02815.01",9665922,,"FALSE POSITIVE","FALSE POSITIVE",1.545388842,0.56,52.8,132.63059
"K02901.01",9366886,,"FALSE POSITIVE","FALSE POSITIVE",0.633514386,0.81,179.1,131.56236
"K02903.01",3657176,,"FALSE POSITIVE","FALSE POSITIVE",17.4166143,1.84,314.2,141.10369
"K02997.01",9777256,,"FALSE POSITIVE","FALSE POSITIVE",1.33251589,1.3,140.5,132.0842
"K02999.01",7433585,,"FALSE POSITIVE","FALSE POSITIVE",0.545544979,0.93,92.6,131.72408
"K03000.01",5702939,,"FALSE POSITIVE","FALSE POSITIVE",18.3980827,1.26,145,144.9175
"K03001.01",11709423,,"FALSE POSITIVE","FALSE POSITIVE",0.768934934,4.09,846.8,131.740302
"K03090.02",6609270,,"FALSE POSITIVE","FALSE POSITIVE",15.0367776,8.02,503.5,133.6558
"K03092.01",8046689,,"FALSE POSITIVE","FALSE POSITIVE",5.78542702,1.91,256.2,137.09181
"K00320.01",8700558,,"FALSE POSITIVE","FALSE POSITIVE",4.79179893,26.26,123.9,173.51679
"K03207.01",9518710,,"FALSE POSITIVE","FALSE POSITIVE",0.954388314,2.27,57.2,132.44537
"K03211.01",7293937,,"FALSE POSITIVE","FALSE POSITIVE",1.366964704,0.79,59.7,132.195909
"K03392.01",9714123,,"FALSE POSITIVE","FALSE POSITIVE",50.35545898,31.66,107138,136.9113798
"K00334.01",10383687,,"FALSE POSITIVE","FALSE POSITIVE",8.4879444,1.23,119.3,176.92505
"K03479.01",6525209,,"FALSE POSITIVE","FALSE POSITIVE",75.13194883,26.21,122372,184.429462
"K03479.02",6525209,,"FALSE POSITIVE","FALSE POSITIVE",1.71029474,1.04,158.9,131.61307
"K03578.01",10464666,,"FALSE POSITIVE","FALSE POSITIVE",131.73630485,54.38,58381.2,194.5833896
"K03579.01",5024292,,"FALSE POSITIVE","FALSE POSITIVE",4.301031137,93.01,204153,134.44907
"K03580.01",4659255,,"FALSE POSITIVE","FALSE POSITIVE",198.01379181,38.49,142501,234.151682
"K03581.01",8263746,,"FALSE POSITIVE","FALSE POSITIVE",10.9938268,52.69,419208,138.805226
"K03582.01",3428468,,"FALSE POSITIVE","FALSE POSITIVE",114.90862419,42.78,196112,199.450746
"K03583.01",5130740,,"FALSE POSITIVE","FALSE POSITIVE",210.30644361,101.13,46455.4,285.127394
"K03674.01",2446623,,"FALSE POSITIVE","FALSE POSITIVE",175.06586091,40.63,45134,179.043787
"K03675.01",9596089,,"FALSE POSITIVE","FALSE POSITIVE",20.8392148,51.9,177508,133.49781
"K03676.01",5738506,,"FALSE POSITIVE","FALSE POSITIVE",9.50158045,73.07,443400,131.97492
"K03677.01",3340313,,"FALSE POSITIVE","FALSE POSITIVE",30.5528701,63.57,63521,143.348399
"K03679.01",5021174,,"FALSE POSITIVE","FALSE POSITIVE",4.04506346,67.94,360177,132.232226
"K03769.01",6543683,,"FALSE POSITIVE","FALSE POSITIVE",1.195515251,49.33,8054.4,132.303851
"K03772.01",5481426,,"FALSE POSITIVE","FALSE POSITIVE",2.38404983,66.14,312732,133.43927
"K00360.01",12107021,,"FALSE POSITIVE","FALSE POSITIVE",5.93719982,1.47,175.6,135.95338
"K03773.01",10268903,,"FALSE POSITIVE","FALSE POSITIVE",1.103978,,,131.573418
"K03775.01",7220320,,"FALSE POSITIVE","FALSE POSITIVE",0.752158047,106.66,37878.8,131.793035
"K03866.01",5215980,,"FALSE POSITIVE","FALSE POSITIVE",2.531140101,32.12,11786.5,132.49471
"K03868.01",9178185,,"FALSE POSITIVE","FALSE POSITIVE",2.992704682,7.86,361.1,133.29518
"K03869.01",6290382,,"FALSE POSITIVE","FALSE POSITIVE",6.12810722,39.52,2336,137.03456
"K03870.01",8258160,,"FALSE POSITIVE","FALSE POSITIVE",23.6270348,21.71,8433,150.0362
"K03871.01",9752982,,"FALSE POSITIVE","FALSE POSITIVE",0.716709897,66.73,932.5,132.050846
"K03962.01",5479717,,"FALSE POSITIVE","FALSE POSITIVE",0.697996932,28.06,9094.6,132.136059
"K03963.01",3764714,,"FALSE POSITIVE","FALSE POSITIVE",6.63449721,85.25,919.1,134.16545
"K03964.01",9957351,,"FALSE POSITIVE","FALSE POSITIVE",0.991105114,36.87,286389,131.893383
"K03965.01",5385575,,"FALSE POSITIVE","FALSE POSITIVE",12.425580393,21.34,1131,141.5382062
"K03967.01",5385697,,"FALSE POSITIVE","FALSE POSITIVE",12.4260454,2.64,582.1,141.5025
"K00379.01",2446113,,"FALSE POSITIVE","FALSE POSITIVE",6.71725648,2.78,272.7,170.99733
"K04057.01",3757407,,"FALSE POSITIVE","FALSE POSITIVE",9.089151782,4.35,110.1,132.0565248
"K04058.01",4769931,,"FALSE POSITIVE","FALSE POSITIVE",1.87886973,1.04,181.9,133.07604
"K04059.01",9220612,,"FALSE POSITIVE","FALSE POSITIVE",0.979161676,1.03,160.2,132.21831
"K04061.01",6806695,,"FALSE POSITIVE","FALSE POSITIVE",0.855922327,0.87,130.9,131.64426
"K04062.01",11858979,,"FALSE POSITIVE","FALSE POSITIVE",3.05933906,36,1169.2,131.7541
"K02651.01",11752908,,"FALSE POSITIVE","FALSE POSITIVE",6.38315744,2.35,1112.6,132.30539
"K02653.01",6525193,,"FALSE POSITIVE","FALSE POSITIVE",1.710279417,1.57,228.8,131.61739
"K02725.01",6233573,,"FALSE POSITIVE","FALSE POSITIVE",0.587470828,51.02,193.8,131.49788
"K02726.01",10363281,,"FALSE POSITIVE","FALSE POSITIVE",0.934924739,2.29,73.8,132.17846
"K02727.01",4861527,,"FALSE POSITIVE","FALSE POSITIVE",25.7054557,1.75,266.3,156.66709
"K02818.01",4952341,,"FALSE POSITIVE","FALSE POSITIVE",1.79683793,3.37,223.3,134.83029
"K02819.01",4270565,,"FALSE POSITIVE","FALSE POSITIVE",18.0116764,2.02,417.2,139.19459
"K02823.01",10341917,,"FALSE POSITIVE","FALSE POSITIVE",0.93375241,3.18,518,131.5113
"K02905.01",9369366,,"FALSE POSITIVE","FALSE POSITIVE",36.0054414,3.33,117.5,144.34331
"K02907.01",2708885,,"FALSE POSITIVE","FALSE POSITIVE",1.146934644,1.39,256.2,132.2666
"K02908.01",6612284,,"FALSE POSITIVE","FALSE POSITIVE",1.245353252,1.48,224.2,132.21522
"K03003.01",11255231,,"FALSE POSITIVE","FALSE POSITIVE",13.6550963,1.35,196.3,137.52651
"K03005.01",3747262,,"FALSE POSITIVE","FALSE POSITIVE",1.312459403,1.65,36.9,132.22569
"K00048.01",7837302,,"FALSE POSITIVE","FALSE POSITIVE",23.836808884,59.31,29684.7,173.7759431
"K03212.01",4927734,,"FALSE POSITIVE","FALSE POSITIVE",3.0001191,0.73,7.7,132.9097
"K03213.01",5398002,,"FALSE POSITIVE","FALSE POSITIVE",14.15849823,90.09,347.3,134.0065
