kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K04320.01",5095082,"Kepler-1951 b","CONFIRMED","CANDIDATE",20.6579443,1.27,98.2,145.6348
"K04441.01",8416523,"Kepler-1604 b","CONFIRMED","CANDIDATE",0.341842017,1.72,285.6,131.660336
"K04444.01",11718389,"Kepler-1956 b","CONFIRMED","CANDIDATE",5.94373492,1.14,301,135.25897
"K04446.01",10329196,"Kepler-1605 b","CONFIRMED","CANDIDATE",85.7567919,2.99,159.1,162.71914
"K04447.01",10604592,"Kepler-1957 b","CONFIRMED","CANDIDATE",2.18660188,0.98,122.3,131.94832
"K04550.01",5977470,"Kepler-1653 b","CONFIRMED","CANDIDATE",140.251943,1.84,567.7,175.137
"K04659.01",2857607,"Kepler-1965 b","CONFIRMED","CANDIDATE",41.8681996,1.25,150.7,146.9767
"K04661.01",5962262,"Kepler-1966 b","CONFIRMED","CANDIDATE",8.61742738,1.01,154.9,133.50863
"K00427.03",10189546,"Kepler-549 c","CONFIRMED","CANDIDATE",117.033521,2.68,770.4,245.65151
"K00439.01",12470954,"Kepler-554 b","CONFIRMED","CANDIDATE",1.902208647,4.45,2343.5,170.449657
"K00446.02",4633570,"Kepler-158 c","CONFIRMED","CANDIDATE",28.55158187,1.97,807.8,185.47672
"K00471.01",10019643,"Kepler-163 c","CONFIRMED","CANDIDATE",21.34736612,3.2,630.5,171.73531
"K00490.04",3239945,"Kepler-167 d","CONFIRMED","CANDIDATE",21.803708,1.11,246.4,139.07199
"K00500.01",4852528,"Kepler-80 b","CONFIRMED","CANDIDATE",7.053527145,2.16,1480.1,176.474146
"K00505.02",5689351,"Kepler-169 c","CONFIRMED","CANDIDATE",6.1954595,1.37,296.4,134.71507
"K04215.01",9366617,"Kepler-1570 b","CONFIRMED","CANDIDATE",26.5487294,2.54,142,137.24401
"K04222.01",9183378,"Kepler-1571 b","CONFIRMED","CANDIDATE",3.38557445,1.63,121.9,133.97411
"K04327.01",5371777,"Kepler-1589 b","CONFIRMED","CANDIDATE",0.991659646,1.19,77.3,131.53686
"K00408.01",5351250,"Kepler-150 c","CONFIRMED","CANDIDATE",7.381980206,3.42,1433.8,173.072659
"K04335.01",10730070,"Kepler-1590 b","CONFIRMED","CANDIDATE",7.61758198,1,85.4,137.50008
"K04450.01",7429240,"Kepler-1606 b","CONFIRMED","CANDIDATE",196.436796,2.33,631.9,173.692
"K00413.02",5791986,"Kepler-151 c","CONFIRMED","CANDIDATE",24.67458244,2.33,650.6,146.77261
"K04803.01",4473613,"Kepler-1623 b","CONFIRMED","CANDIDATE",4.36125889,1.2,189.2,132.53228
"K04928.01",1873513,"Kepler-1624 b","CONFIRMED","CANDIDATE",3.290304098,4.91,13552.6,131.90944
"K05178.01",5551240,"Kepler-1626 b","CONFIRMED","CANDIDATE",4.13960513,1.24,106.7,134.04705
"K05447.02",7935997,"Kepler-1629 b","CONFIRMED","FALSE POSITIVE",3.87594316,0.68,58.6,134.84758
"K00471.02",10019643,"Kepler-163 b","CONFIRMED","CANDIDATE",7.81100952,1.36,126.7,132.30566
"K00476.01",10599206,"Kepler-566 b","CONFIRMED","CANDIDATE",18.42794957,2.24,706.6,178.43963
"K00484.01",12061222,"Kepler-572 b","CONFIRMED","CANDIDATE",17.20522898,2.22,1080.6,175.05878
"K04230.01",9872831,"Kepler-1572 b","CONFIRMED","CANDIDATE",5.49548533,1.3,85.8,133.63966
"K04337.01",8573193,"Kepler-1591 b","CONFIRMED","CANDIDATE",8.18504859,0.93,97.6,134.554
"K04343.01",8087812,"Kepler-1952 b","CONFIRMED","CANDIDATE",27.2106807,1.73,99.4,132.3793
"K04561.01",7747457,"Kepler-1613 b","CONFIRMED","CANDIDATE",1.5184181,1.85,196.8,132.138
"K00420.01",8352537,"Kepler-547 b","CONFIRMED","CANDIDATE",6.010383339,3.8,2652.1,174.084883
"K04566.01",11650401,"Kepler-1614 b","CONFIRMED","CANDIDATE",3.94660745,1.4,309.4,132.24892
"K00428.01",10418224,"Kepler-40 b","CONFIRMED","CANDIDATE",6.8731664,13.44,3753.8,172.518826
"K00435.01",11709124,"Kepler-154 d","CONFIRMED","CANDIDATE",20.5498184,4.04,1564.3,178.946396
"K00440.01",2438264,"Kepler-156 c","CONFIRMED","CANDIDATE",15.90688891,2.35,924.7,177.9305
"K00456.01",7269974,"Kepler-160 c","CONFIRMED","CANDIDATE",13.69942266,3.85,1292.9,171.48036
"K00463.01",8845205,"Kepler-560 b","CONFIRMED","CANDIDATE",18.47762694,1.55,2604.6,185.269061
"K00477.01",10934674,"Kepler-567 b","CONFIRMED","CANDIDATE",16.54295261,2.31,726,169.65031
"K00500.02",4852528,"Kepler-80 c","CONFIRMED","CANDIDATE",9.521644639,2.16,1491.3,177.484839
"K00505.03",5689351,"Kepler-169 b","CONFIRMED","CANDIDATE",3.25058201,1.19,218.4,133.69472
"K04232.01",11509504,"Kepler-1573 b","CONFIRMED","CANDIDATE",2.61576515,1.06,120.4,131.97896
"K00401.01",3217264,"Kepler-149 b","CONFIRMED","CANDIDATE",29.19899219,4.15,2047.2,185.440631
"K04234.01",11611275,"Kepler-1574 b","CONFIRMED","CANDIDATE",6.94245216,1.34,160.8,135.95819
"K00408.02",5351250,"Kepler-150 d","CONFIRMED","CANDIDATE",12.56096618,2.74,923.1,166.79483
"K04347.01",3244792,"Kepler-1592 b","CONFIRMED","CANDIDATE",3.0570982,0.99,144,134.50122
"K04571.01",6761777,"Kepler-1615 b","CONFIRMED","CANDIDATE",47.3128645,3.71,217.4,146.3073
"K00421.01",9115800,"Kepler-548 b","CONFIRMED","CANDIDATE",4.454194254,11.76,16041.5,172.8202233
"K00429.01",10616679,"Kepler-550 b","CONFIRMED","CANDIDATE",8.600099313,4.17,2791.6,172.529281
"K00435.03",11709124,"Kepler-154 b","CONFIRMED","CANDIDATE",33.0405509,2.36,577.4,161.22146
"K00440.02",2438264,"Kepler-156 b","CONFIRMED","CANDIDATE",4.973455252,2.46,741.6,170.885791
"K00448.01",5640085,"Kepler-159 b","CONFIRMED","CANDIDATE",10.13958818,1.68,1155.9,178.45074
"K05466.01",8037038,"Kepler-1631 b","CONFIRMED","CANDIDATE",4.09513876,1.75,181.7,131.67784
"K05475.01",8105398,"Kepler-1632 b","CONFIRMED","CANDIDATE",224.150923,2.41,348.6,341.02756
"K00472.01",10123064,"Kepler-565 b","CONFIRMED","CANDIDATE",4.243748097,3.16,1409.7,173.563074
"K06228.01",10717220,"Kepler-1644 b","CONFIRMED","CANDIDATE",21.0907909,1.88,417.6,133.96316
"K00492.01",3559935,"Kepler-576 b","CONFIRMED","CANDIDATE",29.9111886,2.9,942,194.71129
